Région,Nom DR,Secteur RA VL ou Zone MV,Nom RA VL ou Nom R. Zone,Nom AO,Libelle CM regroupés,CM,Libelle Centre,Statut,Classe,Nb EAD,"Rattachement
direct CGO VI","Rattachement
direct CGO VL",Nom RCS,Prénom RCS,email,"Ligne pour les clients(diffusion OK)",Tél mobile resp.,"Ligne directe centre
(ne pas diffuser aux clients)",Adresse,Code Postal,Ville,"Animateur Prévention
Santé Sécurité",Nom_RRH,Nom_GRH
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE MV LUDRES,ZAWACKI (RZ),BORD,Sarrebourg + base av.,3329,Sarrebourg,OUVERT,MX, ,Dijon,Dijon,KLIEBER,BENJAMIN,frrcs3329@euromaster.com,03-87-25-71-43,06-71-09-04-12,03-58-93-62-70,"5, RUE DU DOCTEUR SCHWEITZER",57400,SARREBOURG,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE VL MULHOUSE,AFETTAH (RZ), ,Belfort,3035,Belfort,OUVERT,VL, , ,Dijon,AFETTAH,KHALID,FRRCS3035@euromaster.com,03-84-22-48-91,06-07-24-17-66,03-63-78-30-00,AV. DE LA LAURENCIE,90000,BELFORT,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE VL MULHOUSE,AFETTAH (RZ), ,Illzach VL,3167,Illzach VL,OUVERT,VL,1, ,Dijon,MARCHAL,QUENTIN,frrcs3167@euromaster.com,03-89-61-82-81,06-42-44-55-73,03-69-76-02-20,"11-15, RUE DE LONDRES AVENUE DE FRIBOURG",68110,ILLZACH,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE VL MULHOUSE,AFETTAH (RZ), ,Mulhouse Dornach,3244,Mulhouse Dornach,OUVERT,VL, , ,Dijon,AFETTAH,KHALID,FRRCS3244@euromaster.com,03-89-33-17-38,06-07-24-17-66,03-69-13-91-80,2 RUE ANTOINE HERZOG,68200,MULHOUSE,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE VL STRASBOURG,LORENTZ (RZ), ,Haguenau rte de Strasbourg VL,3163,Haguenau rte de Strasbourg VL,OUVERT,VL, , ,Dijon,YERLI,RAMAZAN,frrcs3163@euromaster.com,03-88-93-00-51, ,03-69-13-94-00,"105, ROUTE DE STRASBOURG",67500,HAGUENAU,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE VL STRASBOURG,LORENTZ (RZ), ,Mutzig,3245,Mutzig,OUVERT,VL,3, ,Dijon,SCHILLINGER,PIERRE,frrcs3245@euromaster.com,03-88-38-06-53,06-08-92-29-94,03-69-13-91-90,ESPACE ATRIUM,67190,MUTZIG,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BOURGOGNE FR-CTE ALS-LORR.,HILPERT,ZONE VL STRASBOURG,LORENTZ (RZ), ,Strasbourg Meinau,3335,Strasbourg Meinau VL,OUVERT,VL, , ,Dijon,LORENTZ,YANN,FRRCS3335@euromaster.com,03-88-65-70-42, ,03-69-13-91-00,276 AV DE COLMAR,67100,STRASBOURG,PINEL Marie,MEZINO Julien,MARTHERESSE ADELINE
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Caen Sud,3052,Caen Sud,OUVERT,MV ,Grentheville, ,MOREL,CHRISTELLE,frrcs3052@euromaster.com,02-31-82-89-70,06-71-59-16-87,02-50-22-32-00,Z.I. MONDEVILLE SUD,14540,GRENTHEVILLE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Clisson,3081,Clisson,OUVERT,MX, ,Cesson,Cesson,PEIGNE,FABRICE,frrcs3081@euromaster.com,02-40-36-12-82,06-80-38-91-86,VL: 02-49-03-70-81 / VI: 02-49-03-70-80,GETIGNE Z.A.,44190,CLISSON,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Fougères,3154,Fougères,OUVERT,MX, ,Cesson,Cesson,RENAULT,FREDERIC,frrcs3154@euromaster.com,02-99-17-01-70,06-88-16-92-36,01-71-41-51-01,BOULEVARD  GROSLAY,35300,FOUGERES,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Gonfreville,3160,Gonfreville,OUVERT,MV ,Grentheville, ,LANGANAY,SANDRA,frrcs3160@euromaster.com,02-35-53-36-74,06-72-95-81-13,04-56-60-50-38,ROUTE INDUSTRIELLE Z.I. PORTUAIRE N 4429,76700,GONFREVILLE L ORCHER,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Landerneau,3177,Landerneau,OUVERT,MX,1, ,Cesson,KERRIEN,YANN,frrcs3177@euromaster.com,02-98-30-35-80,06-85-71-10-95,02-56-05-92-10,"27,  RUE HERVE DE GUEBRIANT",29800,LANDERNEAU,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Lanester Caudan VI + Base av.,3178,Lanester Caudan VI,OUVERT,MV ,Cesson, ,HAMON,RICHARD,frrcs3178@euromaster.com,02-97-76-88-70,06-74-68-62-70,02-56-05-92-30,752 ROUTE DE CAUDAN ZAC DE KERGOUSSEL MORBIHAN,56850,CAUDAN,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Les Herbiers + base av.,3189,Les Herbiers,OUVERT,MX, , ,Cesson, , ,FRRCS3189@euromaster.com,02-51-91-19-08, ,VL: 02-49-03-70-31 / VI: 02-49-03-70-30,11 RUE EDOUARD BRANLY ZONE ARTISANALE LA BUZENIERE,85500,LES HERBIERS,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Les Herbiers + base av.,3277,Base av. Boissières des Landes,OUVERT,BASE AV, , , , , ,FRRCS3189@euromaster.com,02-51-91-19-08, , ,11 RUE EDOUARD BRANLY,85500,LES HERBIERS,ROCHETTE Michel, , 
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Saint Lô,3313,Saint Lô,OUVERT,MX,1,Grentheville,Cesson,DUCHEMIN,PASCAL,frrcs3313@euromaster.com,02-33-77-83-50,06-74-95-99-98,VL: 02-49-03-71-71 / VI: 02-49-03-71-70,"700, AVENUE DE PARIS",50000,ST LO,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,St Herblain VI + Carquefou VI + base av.,3058,Base av. Carquefou VI,OUVERT,BASE AV, ,Cesson, ,LIBERGE,STEPHANE,FRRCS3309@euromaster.com, ,06-30-26-19-92, , , , ,ROCHETTE Michel, , 
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,St Herblain VI + Carquefou VI + base av.,3238,Base av. Montoir de Bretagne,OUVERT,BASE AV, ,Cesson, ,LIBERGE,STEPHANE,FRRCS3309@euromaster.com,02-40-92-00-25,06-30-26-19-92, ,TRANSPORT AVRIL -ZA DE CADREAN BOULEVARD DE CADREAN,44550,MONTOIR DE BRETAGNE,ROCHETTE Michel, , 
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,St Herblain VI + Carquefou VI + base av.,3309,Saint Herblain VI,OUVERT,MV ,Cesson, ,LIBERGE,STEPHANE,FRRCS3309@euromaster.com,02-40-92-00-25,06-30-26-19-92,02-56-05-92-60,BOULEVARD SALVADOR ALLENDE ATLANTIS,44800,ST HERBLAIN,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Vire,3365,Vire,OUVERT,MX, ,Grentheville,Cesson, , ,FRRCS3365@euromaster.com,02-31-68-56-57, ,VL: 02-49-03-71-60 / VI: 02-49-03-71-61,RUE GUY DEGRENNE,14501,VIRE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE MV Hors zones, ,DELAYEN,Vitré,3368,Vitré,OUVERT,MX, ,Cesson,Cesson,PERCOT,JEAN-PAUL,frrcs3368@euromaster.com,02-23-55-11-20,06-43-28-76-31,VL: 02-22-19-73-00 / VI: 02-22-19-73-01,32 AVENUE D HELMSTEDT,35500,VITRE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Caen VL,3053,Caen VL,OUVERT,VL, , ,Cesson,VASSELIN,STEPHANE,frrcs3053@euromaster.com,02-31-73-43-18,06-79-00-05-88,02-49-03-70-60,"2, RUE DU CHEMIN VERT ANGLE BOULEVARD DUNOIS",14000,CAEN,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Carquefou VL,3059,Carquefou VL,OUVERT,VL,3, ,Cesson,TARDY-JOUBERT,ALEXIS,frrcs3059@euromaster.com,02-51-85-29-10,06-70-64-60-93,VL: 02-55-11-33-00 / VI: 04-56-60-50-78,"36, RUE DE GRANDE-BRETAGNE Z.I",44470,CARQUEFOU,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Cesson VL,3065,Cesson VL,OUVERT,VL,1, ,Cesson,BOIVANT,SYLVAINE,FRRCS3065@euromaster.com,02-99-53-77-77,06-31-84-59-80,01-71-41-51-05,RUE DES CHARMILLES Z.I. SUD EST CHANTEPIE,35510,CESSON SEVIGNE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Lanester VL,3179,Lanester VL,OUVERT,VL, , ,Cesson,ALIX,ANGIE,frrcs3179@euromaster.com,02-97-76-12-03,06-02-09-36-86,02-90-74-61-00,"68, AVENUE AMBROISE CROIZAT",56600,LANESTER,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Le Havre VL,3184,Le Havre VL,OUVERT,VL, , ,Cesson,FORMENTIN,MAGALI,frrcs3184@euromaster.com,02-35-26-50-68,06-71-14-42-91,02-56-05-91-10,203 BOULEVARD DE GRAVILLE,76600,LE HAVRE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Mondeville + rev,3228,Mondeville + rev,OUVERT,VL, , ,Cesson,VASSELIN,STEPHANE,FRRCS3228@euromaster.com,02-31-83-92-90,06-79-00-05-88,02-50-22-33-00,ZI CHARLES DE COULOMB,14120,MONDEVILLE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Nantes Orvault VL,3247,Nantes Orvault VL,OUVERT,VL, , ,Cesson,TARDY-JOUBERT,ALEXIS,FRRCS3247@euromaster.com,02-51-77-82-30,06-70-64-60-93,02-49-03-70-90,"262, ROUTE DE VANNES",44700,ORVAULT,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Rennes Mail VL,3284,Rennes Mail VL,OUVERT,VL, , ,Cesson,BOIVANT,SYLVAINE,FRRCS3284@euromaster.com,02-99-59-35-29,06-31-84-59-80,02-56-05-92-40,"70, AV. DU MAIL F. MITTERAND",35000,RENNES,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Rennes Rte de Lorient VL,3286,Rennes Rte de Lorient VL,OUVERT,VL, , ,Cesson,BOIVANT,SYLVAINE,frrcs3286@euromaster.com,02-99-14-67-00,06-31-84-59-80,02-56-05-92-80,67 RUE DU MANOIR DE SERVIGNE ROUTE DE LORIEN,35132,VEZIN LE COQUET,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,BRETAGNE NORMANDIE VL,QUATRE SOLS (RAVL), ,Saint Herblain VL,3310,Saint Herblain VL,OUVERT,VL, , ,Cesson,TARDY-JOUBERT,ALEXIS,FRRCS3310@euromaster.com,02-40-92-00-05,06-70-64-60-93,02-56-05-92-65,BOULEVARD SALVADOR ALLENDE ATLANTIS,44800,ST HERBLAIN,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV PONTS DE CE,MIEZE (RZ), ,Angers VL,3012,Angers VL,OUVERT,VL, , ,Cesson,BLOUIN,SONNY,frrcs3012@euromaster.com,02-41-31-13-50,07-87-00-40-80,VL: 01-75-39-92-05 / VI: 01-75-39-92-05,"4, AVENUE BESNARDIERE",49100,ANGERS,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV PONTS DE CE,MIEZE (RZ),DELAYEN,Les Ponts de Cé + base av.,3190,Les Ponts de Cé,OUVERT,MX, , ,Cesson,MIEZE,ERIC,FRRCS3190@euromaster.com,02-41-95-70-60,06-74-68-64-20,VL: 02-55-11-33-04 / VI: 02-55-11-33-03,AVENUE DU MOULIN MARCILLE,49130,LES PONTS DE CE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV PONTS DE CE,MIEZE (RZ),DELAYEN,Les Ponts de Cé + base av.,3396,Base av. Montjean sur Loire,OUVERT,BASE AV, , , ,MIEZE,ERIC,FRRCS3190@euromaster.com,02-41-18-12-93,06-74-68-64-20, ,26 ZA LES OUCHES MONTJEAN SUR LOIRE,49570,MAUGES SUR LOIRE,ROCHETTE Michel, , 
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV RENNES,DERVIN (RZ),DELAYEN,Redon + Base av.,3282,Redon VI,OUVERT,MX, ,Cesson,Cesson,DERVIN,THOMAS,FRRCS3282@euromaster.com,02-99-70-35-40,06-17-48-47-23,VL: 02-56-50-70-03 / VI: 02-56-50-70-00,ROUTE DE VANNES,35600,REDON,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV RENNES,DERVIN (RZ),DELAYEN,Rennes VI + Cesson VI + Base av.,3064,Cesson VI,OUVERT,MV ,Cesson, ,DERVIN,THOMAS,FRRCS3285@euromaster.com,02-99-53-23-53,06-17-48-47-23,05-16-75-70-06,RUE DES CHARMILLES Z.I. SUD EST CHANTEPIE,35510,CESSON SEVIGNE,ROCHETTE Michel, , 
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV RENNES,DERVIN (RZ),DELAYEN,Rennes VI + Cesson VI + Base av.,3272,Base av. Pommeret,OUVERT,BASE AV, , , ,DERVIN,THOMAS,FRRCS3285@euromaster.com,02-99-14-57-59,06-17-48-47-23, ,21 RUE PAUL RICHET,22120,POMMERET,ROCHETTE Michel, , 
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV RENNES,DERVIN (RZ),DELAYEN,Rennes VI + Cesson VI + Base av.,3285,Rennes Rte de Lorient VI,OUVERT,MV ,Cesson, ,DERVIN,THOMAS,FRRCS3285@euromaster.com,02-99-14-57-59,06-17-48-47-23,02-56-05-92-81,67 RUE DU MANOIR DE SEVIGNE ROUTE DE LORIENT,35132,VEZIN LE COQUET,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV RENNES,DERVIN (RZ),DELAYEN,Saint Malo,3314,Saint Malo,OUVERT,MX, ,Cesson,Cesson,DERVIN,THOMAS,FRRCS3314@euromaster.com,02-99-56-41-41,06-17-48-47-23,VL: 02-49-03-70-71 / VI: 02-49-03-70-70,18 AVENUE DU GENERAL FERIE,35400,ST-MALO,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV ST BERTHEVIN,BUREL (RZ),DELAYEN,Mayenne,3223,Mayenne,OUVERT,MX, ,Cesson,Cesson,BUREL,THIERRY,FRRCS3223@euromaster.com,02-43-04-19-47,06-86-78-97-99,VL: 03-58-93-62-65 / VI: 03-58-93-62-67,RUE MARIE ANDRE AMPERE ZI DE LA PEYENNEIRE,53100,MAYENNE,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
BRETAGNE NORMANDIE,DES-MINIERES,ZONE MV ST BERTHEVIN,BUREL (RZ),DELAYEN,Saint Berthevin,3300,Saint Berthevin,OUVERT,MX, ,Cesson,Cesson,BUREL,THIERRY,FRRCS3300@euromaster.com,02-43-91-45-50,06-86-78-97-99,VL: 04-65-95-93-55 / VI: 04-65-95-93-54,"10, BOULEVARD DES LOGES",53940,ST BERTHEVIN,ROCHETTE Michel,METAYER Soizic,SCEMAMA Julien
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. MV Hors zones, ,BABUT,Brive VI,3050,Brive VI,OUVERT,MV , , ,VAYNE,BRUNO,frrcs3050@euromaster.com,05-55-88-96-29,06-87-15-83-28,05-87-43-70-10,IMPASSE DE LA SARRETIE,19100,BRIVE,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. MV Hors zones, ,BABUT,Gien,3158,Gien,OUVERT,VL, , ,Limoges,GUINAUDEAU,FLORENT,frrcs3158@euromaster.com,02-38-67-42-08,06-64-18-23-38,VL: 02-49-03-70-50 / VI: 02-49-03-70-50,RUE JULES CESAR,45500,GIEN,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. MV Hors zones, ,BABUT,Le Blanc,3183,Le Blanc,OUVERT,MX, , ,Limoges,HEREAU,BENOIT,frrcs3183@euromaster.com,02-54-37-00-39,06-70-13-71-53,VL: 02-49-03-70-20 / VI: 02-49-03-70-20,7 AVENUE PIERRE MENDESÂ FRANCE,36300,LE BLANC,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. MV Hors zones, ,BABUT,Limoges,3198,Limoges,OUVERT,MX, ,Limoges,Limoges,DEBORD,DAVID,FRRCS3198@euromaster.com,05-55-36-19-27,06-74-69-19-27,04-49-06-52-06,51 RUE CLAUDE. HENRI GORCEIX,87280,LIMOGES,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. MV Hors zones, ,BABUT,Limoges Comte,3197,Limoges Comte,OUVERT,MX, ,Limoges,Limoges,DEBORD,DAVID,frrcs3197@euromaster.com,05-55-38-10-71,06-74-69-19-27,VL: 05-19-03-71-00 / VI: 05-19-03-71-01,"5 A 9, RUE AUGUSTE COMTE Z.I. NORD",87000,LIMOGES,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. MV Hors zones, ,BABUT,Montargis VI,3230,Montargis VI,OUVERT,MV ,Chambray Les Tours, , , ,FRRCS3230@euromaster.com,02-38-07-15-70, ,02-49-03-71-50,26 RUE DE  LA BARAUDIERE Z.A.,45700,VILLEMANDEUR,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. VL,CHABAUD (RAVL), ,Brive VL,3051,Brive VL,OUVERT,VL, , ,Limoges,D'OLIVEIRA,ERIC,frrcs3051@euromaster.com,05-55-88-96-39,07-84-39-25-99,05-87-43-70-00,"26, RUE JEAN-CHARLES RIVET",19100,BRIVE,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,CENTRE LOIRE CHAR. LIM. VL,CHABAUD (RAVL), ,Montargis VL,3231,Montargis VL,OUVERT,VL, , ,Limoges,ALLAGBE,JOSE,frrcs3231@euromaster.com,02-38-93-38-33,06-34-13-46-16,VL: 03-69-13-94-03 / VI: 03-69-13-94-03,"64, RUE JEAN JAURES",45200,MONTARGIS,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV CHAMBRAY LES TOURS,DUCALCON (RZ), ,Tours VL,3349,Tours VL,OUVERT,VL, , ,Limoges,LAUNAY,JOHNNY,frrcs3349@euromaster.com,02-47-51-03-03, ,02-56-05-92-70,"16, RUE C. HUYGENS Z.I. DE LA MILLETIERE",37100,TOURS,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV CHAMBRAY LES TOURS,DUCALCON (RZ),BABUT,Blois,3040,Blois,OUVERT,MX, ,Chambray Les Tours,Limoges,BORGNE,JOHAN,frrcs3040@euromaster.com,02-54-78-18-74,06-75-78-30-99,VL: 02-19-04-10-00 / VI: 02-19-04-10-01,AVENUE DE CHATEAUDUN,41000,BLOIS,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV CHAMBRAY LES TOURS,DUCALCON (RZ),BABUT,Chambray les Tours,3070,Chambray les Tours,OUVERT,MX, ,Chambray Les Tours,Limoges,DUCALCON,LOIC,FRRCS3070@euromaster.com,02-47-71-40-20,06-74-68-62-66,VL: 02-19-03-81-00 / VI: 02-19-03-81-05,"14, RUE JEAN PERRIN Z.I. NO.1",37170,CHAMBRAY LES TOURS,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV CHAMBRAY LES TOURS,DUCALCON (RZ),BABUT,Vendôme,3356,Vendôme,OUVERT,MX, ,Chambray Les Tours,Limoges,CABRELLI,PATRICK,frrcs3356@euromaster.com,02-54-73-71-71, ,VL: 03-69-13-92-51 / VI: 03-69-13-92-50,25 ROUTE DE PARIS R.N 10,41100,VENDOME,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV LE MANS, (RZ),BABUT,Alencon,3008,Alencon,OUVERT,MX, ,Chambray Les Tours,Limoges,JANVIER,VINCENT,frrcs3008@euromaster.com,02-33-81-28-50,06-44-10-60-43,VL: 02-14-17-70-01 / VI: 02-14-17-70-00,"26, RUE LAZARE CARNOT Z.I. NORD",61000,ALENCON,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV LE MANS, (RZ),BABUT,La Ferté Bernard,3170,La Ferté Bernard,OUVERT,MX, ,Chambray Les Tours,Limoges, , ,FRRCS3170@euromaster.com,02-43-60-16-30, ,VL: 02-56-05-92-90 / VI: 02-56-05-92-90,Z.A. LA PETITE CIBOLE LA CHAPELLE DU BOIS,72400,LA FERTE BERNARD,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV LE MANS, (RZ),BABUT,Le Mans ZI,3185,Le Mans ZI,OUVERT,MX, ,Chambray Les Tours,Limoges, , ,FRRCS3185@euromaster.com,02-43-52-12-80, ,VL: 03-64-54-40-05 / VI: 03-64-54-40-04,RUE DES FRERES VOISIN Z.I. NORD,72000,LE MANS,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV LE MANS, (RZ),BABUT,Sablé,3298,Sablé,OUVERT,MX, ,Chambray Les Tours,Limoges, , ,FRRCS3298@euromaster.com,02-43-62-16-90, ,VL: 04-65-95-93-14 / VI: 04-65-95-93-13,ROUTE DE LA FLECHE ZONE D ACTIVITE ST LAURENT,72300,SABLE S/SARTHE,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV PERIGNY,HADRI (RZ), ,La Rochelle,3174,La Rochelle,OUVERT,VL, , ,Limoges,HADRI,IMADE,FRRCS3174@euromaster.com,05-46-34-85-71,06-68-70-98-41,05-87-43-70-21,"153, BOULEVARD ANDRE SAUTEL",17000,LA ROCHELLE,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV PERIGNY,HADRI (RZ), ,Thouars VL,3341,Thouars VL,OUVERT,VL, , ,Limoges,HADRI,IMADE,FRRCS3341@euromaster.com,05-49-66-06-52,06-68-70-98-41,05-87-43-71-90,24 BD ERNEST RENAN,79100,THOUARS,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV PERIGNY,HADRI (RZ),BABUT,Loudun,3201,Loudun,OUVERT,MX, ,Limoges,Limoges,ROBIN,BENOIT,FRRCS3201@euromaster.com,05-49-98-19-39, ,VL: 05-87-43-71-26 / VI: 05-87-43-71-25,6 AVENUE OUAGADOUGOU ZI NORD,86200,LOUDUN,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV PERIGNY,HADRI (RZ),BABUT,Perigny + base av.,3262,Perigny,OUVERT,MX, , ,Limoges,HADRI,IMADE,FRRCS3262@euromaster.com,05-46-55-44-60,06-68-70-98-41,VL: 01-77-00-10-04 / VI: 01-77-00-10-05,RUE MARIOTTE ZI PERIGNY,17180,PERIGNY,ROCHETTE Michel,FRADIN BRUNO,SIMOENS Amandine
CENTRE LOIRE CHAR. LIM.,PICARD,ZONE MV PERIGNY,HADRI (RZ),BABUT,Perigny + base av.,3436,Base av. La Crèche,OUVERT,BASE AV, , , ,HADRI,IMADE,FRRCS3262@euromaster.com, ,06-68-70-98-41, ,sis Allee Louis Antoine de Bougainville ZA Champs Albert,79260,LA CRECHE,ROCHETTE Michel, , 
